ZIP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,white,black,ai_an,asian,native_hi,other_pac,X2_or_more,hispanic,median_income
48135,13.56523788,11.562317,9.308347949,9.522950009,9.624245971,8.359038236,8.858010316,11.49127795,9.904113656,9.930771108,7.675709163,0.911770929,0.031208125,0.004584244,0.007793215,0.00010579,0.006030044,0.012165879,0.026341773,54752
48137,4.150886343,8.552778774,10.15276299,8.507483945,8.363033799,8.737041806,6.621545934,7.869792681,9.180259883,15.98641151,14.45282769,0.964167357,0.004556752,0.006420878,0.00041425,0,0.001657001,0.011599006,0.011184756,67114
48138,9.699089731,11.39637419,11.55307539,7.449786173,10.23098646,6.127000125,8.742531289,9.715536245,9.461899007,10.14060996,9.320978845,0.947568751,0.003806261,0.002283757,0.021695689,0,0.002093444,0.006565801,0.015986297,83245
48139,0,0,73.53025631,53.92006068,15.72070194,34.87621893,0,0,15.49735097,102.5179922,32.47041262,0.985645933,0,0,0,0,0,0,0.014354067,75370
48140,8.424559225,7.142473376,16.18216614,10.96653813,8.642983166,9.673833732,8.580015089,8.921295832,9.035763974,3.432239612,6.888689564,0.985180412,0.00257732,0.001610825,0,0,0,0.003221649,0.007409794,69673
48141,17.01619124,13.55451315,9.796023571,7.356465935,9.500727923,11.58854017,16.96567536,11.68953303,11.95667504,9.168287085,10.79952603,0.206801399,0.71830548,0.003420132,0.015701516,0.000544112,0.006917995,0.025223475,0.023085892,32810
48143,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91087
48144,8.077552281,10.04809939,9.18837922,10.43301521,12.68108739,13.4215286,10.22417791,10.09555342,0.590252693,2.522988475,1.719638515,0.965790778,0.003371344,0.002181458,0.006246901,0.0006941,0.002875558,0.005651958,0.013187903,74721
48145,12.19531601,21.8398127,17.13305435,22.84385364,16.79615375,12.85382495,16.25538641,13.53804005,9.326922552,9.542610277,5.830886297,0.954200618,0.009553245,0.002247822,0.001404889,0.000561956,0.007867378,0.008429334,0.015734757,62976
48146,34.06126209,31.96616747,27.68090771,29.17248074,22.73244096,24.09884642,24.16363853,21.29853472,20.92973461,21.23796085,22.50277438,0.756926075,0.049770291,0.007564156,0.003735672,0.000371247,0.047287577,0.016845329,0.117499652,43290
48150,9.196550511,9.555567593,8.898278258,9.841567328,8.485082711,8.198961835,8.752946223,8.539164261,7.74234601,11.55082973,8.365131695,0.925054865,0.024762253,0.002560351,0.015106072,0.000256035,0.00277981,0.009802487,0.019678127,65765
48152,7.296949036,7.481992875,7.62189327,7.328165711,9.099850701,8.011611234,10.00320448,7.470511978,6.998730331,8.076880509,9.135010301,0.888276997,0.042473731,0.002088872,0.037156602,6.33E-05,0.002911761,0.007849095,0.019179643,74356
48154,7.904447762,8.864016699,8.513599591,8.248409663,10.6203036,9.459543774,8.424196543,7.916754278,8.916491657,9.580610411,7.629723881,0.923608226,0.024485875,0.002181138,0.018825301,0,0.003920856,0.008075405,0.018903199,74073
48157,16.34366421,23.07515836,25.68989742,20.85566253,23.38343433,19.70105794,13.62959937,16.66590077,13.02632124,7.126966365,14.65947465,0.917175832,0.00203666,0.011541073,0.00203666,0,0.010862186,0.031228785,0.025118805,44609
48158,10.69842039,7.751679655,7.545338063,4.309476303,8.359553085,7.953839499,11.19891894,10.13465697,17.88656142,14.47799144,13.38153497,0.974456522,0.002038043,0.002853261,0.003940217,0.000407609,0.001086957,0.00611413,0.009103261,71476
48159,8.730976414,20.66031956,14.86130682,12.72995325,12.64734655,7.431417119,12.42638331,8.058922231,8.553671185,12.6546017,13.20828269,0.93990755,0.038520801,0.006163328,0.000770416,0,0.001540832,0.00770416,0.005392912,62021
48160,12.42253008,11.74876678,9.938515176,12.2908338,10.43225702,10.75930433,14.12525994,16.67040249,12.56114018,15.32151697,12.82505721,0.90180899,0.038233668,0.004897701,0.006003634,0,0.006951576,0.0131132,0.028991232,42504
48161,20.92119434,22.81962325,25.07773612,27.7617711,25.2529223,21.56568302,25.54559855,23.52519739,22.06915372,19.72820299,20.05725741,0.894474434,0.044459439,0.002099265,0.005510571,0.000262408,0.010946169,0.011845854,0.030401859,46794
48162,19.9598438,18.59575112,18.01341033,21.09252774,18.78733358,22.55396839,18.32944411,15.38439859,17.23219607,14.72690765,12.89017548,0.905038498,0.027792787,0.003275699,0.006348778,0.00013508,0.012765095,0.014149669,0.030494394,53589
48164,8.872832937,11.66561416,8.537167662,10.68276064,9.382366496,9.069518245,11.65289822,12.76498876,9.233392861,10.30160446,9.481228578,0.92144625,0.032497579,0.004089099,0.006133649,0,0.00355106,0.014096632,0.018185731,58326
48165,7.279590882,5.676858385,6.362973482,4.939572393,3.73843032,6.03578047,7.120530809,5.454080943,5.038077662,9.509024231,6.692914277,0.923699069,0.015717992,0.003052037,0.009308714,0,0.004578056,0.010224325,0.033419808,71963
48166,12.04588248,20.04363183,18.38986936,17.94583403,16.72906191,19.74666136,24.12872285,19.46278671,12.41605867,16.59671204,14.73924039,0.943600135,0.008949679,0.006416751,0.002532928,0,0.004981425,0.010216143,0.023302938,54518
48167,9.726090489,7.845853488,7.882389923,6.248369355,7.118787842,8.321422207,6.669423396,6.328676233,5.950904277,6.743824018,7.637867549,0.875415509,0.041573699,0.000910705,0.046445972,9.11E-05,0.004553527,0.009744547,0.02126497,89952
48168,4.062513443,4.109469147,4.111777705,4.506751825,6.010179354,4.446125857,5.383519852,5.200812079,7.19587125,6.170284404,5.187971673,0.819677317,0.031048041,0.00135581,0.120350703,0.000316356,0.002169295,0.008857956,0.016224522,101476
